2018-07-30 18:21:05.998000

10_1_S5_L8_X_OnePanel.xef :  [num_images: 1300, video_time: 68.9260002327, FPS: 18]
10_2_S5_L8_X_TwoPanels.xef :  [num_images: 1650, video_time: 88.834999815, FPS: 18]
10_3_S5_L8_X_ThreePanels.xef :  [num_images: 1702, video_time: 93.2280001488, FPS: 18]
10_4_S5_L8_X_FourPanels.xef :  [num_images: 1742, video_time: 93.2829999142, FPS: 18]
11_0_S5_L8_ContrastPresets_X.xef :  [num_images: 1143, video_time: 60.9449997559, FPS: 18]
1_1_S5_L8_Scroll_Down.xef :  [num_images: 1760, video_time: 93.4639997063, FPS: 18]
1_1_S5_L8_Scroll_Up.xef :  [num_images: 1803, video_time: 94.0040002289, FPS: 19]
2_0_S5_L8_Flip_Horizontal.xef :  [num_images: 1902, video_time: 102.329000109, FPS: 18]
2_1_S5_L8_Flip_Vertical.xef :  [num_images: 1840, video_time: 99.9200004482, FPS: 18]
3_1_S5_L8_Rotate_CW.xef :  [num_images: 1809, video_time: 95.0029997349, FPS: 19]
3_2_S5_L8_Rotate_CCW.xef :  [num_images: 1696, video_time: 90.5039994278, FPS: 18]
4_1_S5_L8_Zoom_In.xef :  [num_images: 1804, video_time: 97.9429997559, FPS: 18]
4_2_S5_L8_Zoom_Out.xef :  [num_images: 1890, video_time: 102.494999989, FPS: 18]
5_1_S5_L8_SwitchPanel_Left.xef :  [num_images: 1816, video_time: 98.0470001526, FPS: 18]
5_2_S5_L8_SwitchPanel_Right.xef :  [num_images: 1736, video_time: 92.570999958, FPS: 18]
5_3_S5_L8_SwitchPanel_Up.xef :  [num_images: 1837, video_time: 98.695000391, FPS: 18]
5_4_S5_L8_SwitchPanel_Down.xef :  [num_images: 1847, video_time: 98.2929999008, FPS: 18]
6_1_S5_L8_Pan_Left.xef :  [num_images: 1726, video_time: 92.0220000629, FPS: 18]
6_2_S5_L8_Pan_Right.xef :  [num_images: 1836, video_time: 100.614000216, FPS: 18]
6_3_S5_L8_Pan_Up.xef :  [num_images: 1820, video_time: 98.8880002575, FPS: 18]
6_4_S5_L8_Pan_Down.xef :  [num_images: 1719, video_time: 93.3849998913, FPS: 18]
